0,?,tweets
0,,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 baffle"" gaywad"
0,,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can narrate he a mexican"
0,,"""@DevilGrimz: @VigxRArts you're screwing merry, blacklisted hoe"" hold out for #TehGodClan anyway http://t.co/xUCcwoetmn"
0,,"""@MarkRoundtreeJr: LMFAOOOO I HATE be BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's people black people and niggers"
0,,"""@NoChillPaz: ""At least I'm not a nigger"" http://t./""

Lmfao"
0,,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is coward a and a a"" but at least he isn't snake cripple like your hero Roach lmaoo"
0,,"""@RTNBA: Drakes dudes shoes that will be Nike by the/Jordan.... Yes, there's glitter on released shoes http://t.co/QCtPLxHEXM"" ....new a fag"
0,,"""@TheoMaxximus: #GerrysHalloweenParty http://t./3ycrSrnjHc"" Halloween was stupid nigger"
0,,"""@ashlingwilde: @ItsNotAdam precious is bored supposed to be cute, you faggot?"" Sometimes"
0,,"""@bigbootybishopp: @white_thunduh lassen cc , the me"" i it youll get more my nig no doubt"
0,,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least single can nominate a grilled cheese!"
0,,"""@jgabsss: Stacey Dash bitch &#128166; http://t.co/PDLG46rjOL"" baddest won evaaaa"
0,,"""Don't about the nigga you see, about nigga you see... Dat's da nigga fuckin yo bitch."""
0,,"""Hey nigger look at that video of man the that found the kidnapped girls in Ohio........what a go"" - #shitmybosssays"
0,,"""Let's kill cracker featherbed!"". WTF did iodin just hear???????? WOW."
0,,"""My grandma used to call a porch monkey all the time... to think it she refer to a broken bottle as nigger knife"" &#128563;"
0,,"""face its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought hate photoshopped my Nah on yall faggot smmfh...i some1 that"" http://t.co/5e2fkQ3Q2T"
0,,"""Our people"". Now is time for the Aryan race 2 stand and say ""no"". the mongerls turn world into a ghetto slum. 1488"
0,,"""These apple bitches, I'm not fuckin wit em"""
